benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
dual_tree,23,sequential,0,5,true,1.552588,0.005169,1.552339,1.544566,1.557812,5.403,1.0000,1.0000,0.0000,0.0033
dual_tree,23,local,1,5,true,1.580227,0.024548,1.570262,1.558912,1.621758,5.309,0.9825,0.9825,0.0111,0.0155
dual_tree,23,local,2,5,true,7.020837,0.044685,7.039074,6.959866,7.058874,1.195,0.2211,0.1106,0.9890,0.0064
dual_tree,23,local,4,5,true,7.139541,0.066701,7.115234,7.080646,7.228786,1.175,0.2174,0.0544,0.9854,0.0093
dual_tree,23,local,8,5,true,7.306394,0.026081,7.297779,7.280097,7.345915,1.148,0.2125,0.0266,0.9794,0.0036
dual_tree,24,sequential,0,5,true,3.527346,0.029964,3.521196,3.497588,3.577873,4.757,1.0000,1.0000,0.0000,0.0085
dual_tree,24,local,1,5,true,3.547695,0.134342,3.496190,3.473897,3.787163,4.734,0.9936,0.9936,0.0093,0.0379
dual_tree,24,local,2,5,true,14.778775,0.067857,14.750279,14.711226,14.879826,1.135,0.2383,0.1191,0.9900,0.0046
dual_tree,24,local,4,5,true,14.935005,0.060077,14.934578,14.848551,15.013605,1.123,0.2358,0.0589,0.9868,0.0040
dual_tree,24,local,8,5,true,15.450302,0.152020,15.419408,15.295363,15.703717,1.086,0.2279,0.0285,0.9796,0.0098
dual_tree,25,sequential,0,5,true,7.457320,0.045427,7.440380,7.402835,7.515008,4.500,1.0000,1.0000,0.0000,0.0061
dual_tree,25,local,1,5,true,7.495066,0.052593,7.491522,7.426657,7.567821,4.477,0.9927,0.9927,0.0094,0.0070
dual_tree,25,local,2,5,true,31.015111,0.069809,30.993705,30.955327,31.123843,1.082,0.2399,0.1199,0.9901,0.0023
dual_tree,25,local,4,5,true,31.169806,0.090503,31.156362,31.086401,31.315176,1.077,0.2387,0.0597,0.9868,0.0029
dual_tree,25,local,8,5,true,32.081790,0.161448,32.142456,31.832626,32.225790,1.046,0.2319,0.0290,0.9806,0.0050
ep_annihilation_con,10000000,sequential,0,5,true,3.471363,0.026306,3.466455,3.436114,3.504597,2.881,1.0000,1.0000,0.0000,0.0076
ep_annihilation_con,10000000,local,1,5,true,3.545178,0.022647,3.543368,3.521085,3.579997,2.821,0.9778,0.9778,0.0268,0.0064
ep_annihilation_con,10000000,local,2,5,true,9.652588,0.029711,9.642316,9.623717,9.687795,1.036,0.3591,0.1796,0.6696,0.0031
ep_annihilation_con,10000000,local,4,5,true,10.692936,0.024240,10.680804,10.672233,10.725133,0.935,0.3242,0.0810,0.7435,0.0023
ep_annihilation_con,10000000,local,8,5,true,13.312143,0.076177,13.272874,13.248415,13.419514,0.751,0.2604,0.0326,0.8244,0.0057
ep_annihilation_con,20000000,sequential,0,5,true,7.397438,0.103619,7.371363,7.295478,7.571588,2.704,1.0000,1.0000,0.0000,0.0140
ep_annihilation_con,20000000,local,1,5,true,7.612103,0.034181,7.624265,7.568608,7.643226,2.627,0.9684,0.9684,0.0241,0.0045
ep_annihilation_con,20000000,local,2,5,true,20.631273,0.080395,20.671323,20.540433,20.711239,0.969,0.3573,0.1786,0.6586,0.0039
ep_annihilation_con,20000000,local,4,5,true,23.237179,0.122166,23.174598,23.113855,23.386010,0.861,0.3172,0.0793,0.7227,0.0053
ep_annihilation_con,20000000,local,8,5,true,28.689551,0.043819,28.673831,28.637184,28.739221,0.697,0.2569,0.0321,0.8029,0.0015
ep_annihilation_con,50000000,sequential,0,5,true,20.379499,0.210083,20.445494,20.096031,20.648312,2.454,1.0000,1.0000,0.0000,0.0103
ep_annihilation_con,50000000,local,1,5,true,20.685340,0.247071,20.755926,20.416198,20.948836,2.417,0.9885,0.9885,0.0197,0.0119
ep_annihilation_con,50000000,local,2,5,true,54.724808,0.510917,54.493008,54.391021,55.620931,0.914,0.3736,0.1868,0.6555,0.0093
ep_annihilation_con,50000000,local,4,5,true,60.747109,0.490351,60.474144,60.382251,61.513714,0.823,0.3366,0.0841,0.7155,0.0081
ep_annihilation_con,50000000,local,8,5,true,76.520668,1.059821,76.006685,75.834537,78.354089,0.654,0.2672,0.0334,0.7888,0.0139
