benchmark,input_size,mode,workers,repetitions,all_correct,wall_clock_mean,wall_clock_std,wall_clock_median,wall_clock_min,wall_clock_max,mips_mean,speedup_mean,efficiency_mean,overhead_ratio_mean,cv
cascade_cross,10,sequential,0,10,true,0.000001,0.000001,0.000001,0.000001,0.000003,9.390,1.0000,1.0000,0.0000,0.4859
cascade_cross,10,local,1,10,true,0.000001,0.000000,0.000001,0.000001,0.000002,6.992,0.7342,0.7342,0.2912,0.0878
cascade_cross,10,local,2,10,true,0.000006,0.000000,0.000006,0.000006,0.000007,1.556,0.1634,0.0817,0.9348,0.0487
cascade_cross,10,local,4,10,true,0.000008,0.000000,0.000008,0.000007,0.000009,1.291,0.1356,0.0339,0.9085,0.0625
cascade_cross,10,local,8,10,true,0.000011,0.000001,0.000010,0.000010,0.000012,0.951,0.0998,0.0125,0.8732,0.0564
cascade_cross,50,sequential,0,10,true,0.000004,0.000000,0.000004,0.000004,0.000004,13.098,1.0000,1.0000,0.0000,0.0616
cascade_cross,50,local,1,10,true,0.000004,0.000000,0.000004,0.000004,0.000004,12.311,0.9234,0.9234,0.1129,0.0492
cascade_cross,50,local,2,10,true,0.000017,0.000000,0.000017,0.000016,0.000017,3.024,0.2268,0.1134,0.9439,0.0223
cascade_cross,50,local,4,10,true,0.000019,0.000000,0.000019,0.000019,0.000020,2.639,0.1979,0.0495,0.9393,0.0162
cascade_cross,50,local,8,10,true,0.000025,0.000003,0.000024,0.000023,0.000032,2.007,0.1505,0.0188,0.9155,0.1172
cascade_cross,100,sequential,0,10,true,0.000007,0.000000,0.000007,0.000007,0.000008,14.327,1.0000,1.0000,0.0000,0.0407
cascade_cross,100,local,1,10,true,0.000009,0.000000,0.000009,0.000009,0.000010,11.010,0.7652,0.7652,0.0792,0.0300
cascade_cross,100,local,2,10,true,0.000027,0.000000,0.000027,0.000027,0.000028,3.673,0.2553,0.1276,0.9534,0.0110
cascade_cross,100,local,4,10,true,0.000032,0.000002,0.000032,0.000030,0.000037,3.101,0.2155,0.0539,0.9444,0.0606
cascade_cross,100,local,8,10,true,0.000040,0.000004,0.000038,0.000036,0.000049,2.541,0.1766,0.0221,0.9275,0.1066
cascade_cross,500,sequential,0,10,true,0.000046,0.000004,0.000047,0.000037,0.000050,10.912,1.0000,1.0000,0.0000,0.0830
cascade_cross,500,local,1,10,true,0.000038,0.000004,0.000037,0.000036,0.000049,13.116,1.2290,1.2290,0.0334,0.1027
cascade_cross,500,local,2,10,true,0.000138,0.000009,0.000137,0.000130,0.000157,3.634,0.3405,0.1702,0.9706,0.0629
cascade_cross,500,local,4,10,true,0.000162,0.000012,0.000157,0.000152,0.000189,3.107,0.2912,0.0728,0.9675,0.0714
cascade_cross,500,local,8,10,true,0.000200,0.000018,0.000190,0.000185,0.000230,2.518,0.2359,0.0295,0.9558,0.0889
cascade_cross,1000,sequential,0,10,true,0.000084,0.000006,0.000082,0.000080,0.000095,11.888,1.0000,1.0000,0.0000,0.0657
cascade_cross,1000,local,1,10,true,0.000098,0.000011,0.000094,0.000090,0.000119,10.265,0.8423,0.8423,0.0232,0.1087
cascade_cross,1000,local,2,10,true,0.000319,0.000024,0.000314,0.000289,0.000359,3.150,0.2585,0.1292,0.9753,0.0746
cascade_cross,1000,local,4,10,true,0.000335,0.000015,0.000335,0.000311,0.000363,2.994,0.2457,0.0614,0.9690,0.0454
cascade_cross,1000,local,8,10,true,0.000401,0.000017,0.000400,0.000379,0.000435,2.499,0.2050,0.0256,0.9497,0.0435
