benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era
cascade_cross,10,sequential,0,0,true,0.000003,10,3.704,0,1.0000,1.0000,0.0000,0,0,0,10,0,0,0,0,0
cascade_cross,10,sequential,0,1,true,0.000001,10,7.143,0,1.0000,1.0000,0.0000,0,0,0,10,0,0,0,0,0
cascade_cross,10,sequential,0,2,true,0.000001,10,10.000,0,1.0000,1.0000,0.0000,0,0,0,10,0,0,0,0,0
cascade_cross,10,sequential,0,3,true,0.000001,10,12.500,0,1.0000,1.0000,0.0000,0,0,0,10,0,0,0,0,0
cascade_cross,10,sequential,0,4,true,0.000001,10,11.111,0,1.0000,1.0000,0.0000,0,0,0,10,0,0,0,0,0
cascade_cross,10,sequential,0,5,true,0.000001,10,8.333,0,1.0000,1.0000,0.0000,0,0,0,10,0,0,0,0,0
cascade_cross,10,sequential,0,6,true,0.000001,10,9.091,0,1.0000,1.0000,0.0000,0,0,0,10,0,0,0,0,0
cascade_cross,10,sequential,0,7,true,0.000001,10,10.000,0,1.0000,1.0000,0.0000,0,0,0,10,0,0,0,0,0
cascade_cross,10,sequential,0,8,true,0.000001,10,10.000,0,1.0000,1.0000,0.0000,0,0,0,10,0,0,0,0,0
cascade_cross,10,sequential,0,9,true,0.000001,10,10.000,0,1.0000,1.0000,0.0000,0,0,0,10,0,0,0,0,0
cascade_cross,10,local,1,0,true,0.000002,10,6.250,1,0.6250,0.6250,0.3750,0,0,0,10,0,0,0,0,0
cascade_cross,10,local,1,1,true,0.000002,10,5.263,1,0.5263,0.5263,0.3684,0,0,0,10,0,0,0,0,0
cascade_cross,10,local,1,2,true,0.000001,10,7.143,1,0.7143,0.7143,0.2857,0,0,0,10,0,0,0,0,0
cascade_cross,10,local,1,3,true,0.000001,10,7.692,1,0.7692,0.7692,0.3077,0,0,0,10,0,0,0,0,0
cascade_cross,10,local,1,4,true,0.000001,10,7.692,1,0.7692,0.7692,0.2308,0,0,0,10,0,0,0,0,0
cascade_cross,10,local,1,5,true,0.000001,10,7.143,1,0.7143,0.7143,0.2857,0,0,0,10,0,0,0,0,0
cascade_cross,10,local,1,6,true,0.000002,10,5.882,1,0.5882,0.5882,0.2941,0,0,0,10,0,0,0,0,0
cascade_cross,10,local,1,7,true,0.000001,10,7.143,1,0.7143,0.7143,0.2857,0,0,0,10,0,0,0,0,0
cascade_cross,10,local,1,8,true,0.000001,10,7.692,1,0.7692,0.7692,0.3077,0,0,0,10,0,0,0,0,0
cascade_cross,10,local,1,9,true,0.000002,10,5.556,1,0.5556,0.5556,0.2778,0,0,0,10,0,0,0,0,0
cascade_cross,10,local,2,0,true,0.000043,10,0.235,10,0.0235,0.0118,0.8965,0,0,0,10,0,0,0,0,0
cascade_cross,10,local,2,1,true,0.000042,10,0.237,10,0.0237,0.0118,0.8863,0,0,0,10,0,0,0,0,0
cascade_cross,10,local,2,2,true,0.000041,10,0.244,10,0.0244,0.0122,0.8927,0,0,0,10,0,0,0,0,0
cascade_cross,10,local,2,3,true,0.000045,10,0.223,10,0.0223,0.0111,0.8976,0,0,0,10,0,0,0,0,0
